,booktitle,author,publisher,release,year
0,Learning Python,Mark Lutz,O'Reilly Media,June 2013,2013
1,Web Scraping with Python,Ryan Mitchell,O'Reilly Media,November 2017,2017
2,Python Coding for Kids,Don Wilcher,"Maker Media, Inc",September 2017,2017
3,Python Machine Learning By Example,Yuxi Liu,Packt Publishing,May 2017,2017
4,Python Data Structures and Algorithms,Benjamin Baka,Packt Publishing,May 2017,2017
5,Python in a Nutshell,"Alex Martelli, Anna Ravenscroft, Steve Holden",O'Reilly Media,April 2017,2017
6,Invent Your Own Computer Games with Python,Al Sweigart,No Starch Press,December 2016,2016
7,Head First Python,Paul Barry,O'Reilly Media,November 2016,2016
8,Integrating Python with Leading Computer Forensics Platforms,Chet Hosmer,Elsevier / Syngress,September 2016,2016
9,Data Science Essentials in Python,Dmitry Zinoviev,Pragmatic Bookshelf,August 2016,2016
